Nome da rua;Freguesia
Largo Canto;COVILHÃ E CANHOSO
Largo Centro Cívico;COVILHÃ E CANHOSO
Largo Cinco de Outubro;COVILHÃ E CANHOSO
Largo Cónego Joaquim Santos Morgadinho;COVILHÃ E CANHOSO
Largo Doutor Valério Morais;COVILHÃ E CANHOSO
Largo Eduardo Malta;COVILHÃ E CANHOSO
Largo Estação;COVILHÃ E CANHOSO
Largo Forças Armadas;COVILHÃ E CANHOSO
Largo Fábio Guerra;COVILHÃ E CANHOSO
Largo Infantaria 21;COVILHÃ E CANHOSO
Largo Manoel Paes de Oliveira;COVILHÃ E CANHOSO
Largo Manuel Paes de Oliveira;COVILHÃ E CANHOSO
Largo Mário Antunes;COVILHÃ E CANHOSO
Largo Nossa Senhora do Rosário;COVILHÃ E CANHOSO
Largo Quebrada;COVILHÃ E CANHOSO
Largo Ramalha;COVILHÃ E CANHOSO
Largo Santa Marinha;COVILHÃ E CANHOSO
Largo Santo António;COVILHÃ E CANHOSO
Largo Senhora do Rosário;COVILHÃ E CANHOSO
Largo São Silvestre;COVILHÃ E CANHOSO
Largo da Alegria;COVILHÃ E CANHOSO
Largo da Capela;COVILHÃ E CANHOSO
Largo da Estação;COVILHÃ E CANHOSO
Largo da Quebrada;COVILHÃ E CANHOSO
Largo das Forças Armadas;COVILHÃ E CANHOSO
Largo de Santa Maria;COVILHÃ E CANHOSO
Largo de Santa Marinha;COVILHÃ E CANHOSO
Largo de Santo António;COVILHÃ E CANHOSO
Largo de São Silvestre;COVILHÃ E CANHOSO
Largo do Calvário;COVILHÃ E CANHOSO
Largo do Canto;COVILHÃ E CANHOSO
Miradouro;COVILHÃ E CANHOSO
Miradouro do Carquejais;COVILHÃ E CANHOSO
Moinhos;COVILHÃ E CANHOSO
Moinhos Fábrica Velha;COVILHÃ E CANHOSO
Patio dos Escuteiros;COVILHÃ E CANHOSO
Ponte Pedonal da Ribeira da Carpinteira;COVILHÃ E CANHOSO
Ponte do Rato;COVILHÃ E CANHOSO
Ponte dos Costas Rambolas;COVILHÃ E CANHOSO
Praceta Augusto Figueiredo;COVILHÃ E CANHOSO
Praceta Calva;COVILHÃ E CANHOSO
Praceta Conde José Calheiros;COVILHÃ E CANHOSO
Praceta Ribeiro de Flandres;COVILHÃ E CANHOSO
Praceta da Amoreira;COVILHÃ E CANHOSO
Praceta da Calva;COVILHÃ E CANHOSO
Praça Doutor Duarte Simões;COVILHÃ E CANHOSO
Praça Francisco Sá Carneiro;COVILHÃ E CANHOSO
Praça Município;COVILHÃ E CANHOSO
Praça Victória;COVILHÃ E CANHOSO
Praça da Vitória;COVILHÃ E CANHOSO
Praça do Município;COVILHÃ E CANHOSO
Primeira Transversal da Estrada do Campo da Aviação;COVILHÃ E CANHOSO
Primeira Transversal da Rua das Amoreiras;COVILHÃ E CANHOSO
Primeira Transversal da Rua do Rodrigo;COVILHÃ E CANHOSO
Primeira Travessa da Calva;COVILHÃ E CANHOSO
Primeira Travessa da Rua Ribeira de Água Alta;COVILHÃ E CANHOSO
Primeira Travessa da Rua Ribeiro Negro;COVILHÃ E CANHOSO
Páteo do Riscado;COVILHÃ E CANHOSO
Pátio da Ramalha;COVILHÃ E CANHOSO
Pátio do Castelo;COVILHÃ E CANHOSO
Quelha da Quinta dos Negreiros;COVILHÃ E CANHOSO
Quelha dos Negreiros;COVILHÃ E CANHOSO
Quinta José Oliveira;COVILHÃ E CANHOSO
Quinta Picharro;COVILHÃ E CANHOSO
Quinta da Ladeira;COVILHÃ E CANHOSO
Quinta da Nogueira;COVILHÃ E CANHOSO
Quinta da Olivosa;COVILHÃ E CANHOSO
Quinta da Serra;COVILHÃ E CANHOSO
Quinta da Várzea;COVILHÃ E CANHOSO
Quinta do Muro;COVILHÃ E CANHOSO
Quinta do Pinheiro;COVILHÃ E CANHOSO
Quinta do Pintor;COVILHÃ E CANHOSO
Ramal Estação;COVILHÃ E CANHOSO
Ramal Estádio Santos Pinto;COVILHÃ E CANHOSO
Ramal São João de Malta;COVILHÃ E CANHOSO
Ramal da Estação;COVILHÃ E CANHOSO
Ramal de São João de Malta;COVILHÃ E CANHOSO
Rampa do Campo das Festas;COVILHÃ E CANHOSO
Retiro Pacatos;COVILHÃ E CANHOSO
Retiro Poetas;COVILHÃ E CANHOSO
Retiro dos Pacatos;COVILHÃ E CANHOSO
Retiro dos Poetas;COVILHÃ E CANHOSO
Rotunda da Ponte do Rato;COVILHÃ E CANHOSO
Rotunda das Mulheres Operárias Têxteis;COVILHÃ E CANHOSO
Rotunda das Oliveiras;COVILHÃ E CANHOSO
Rotunda do Operário Têxtil;COVILHÃ E CANHOSO
Rotunda Álvaro Lambelho Ramos;COVILHÃ E CANHOSO
Rua 1º de Dezembro;COVILHÃ E CANHOSO
Rua 1º de Maio;COVILHÃ E CANHOSO
Rua 20 Junho;COVILHÃ E CANHOSO
Rua 20 de Outubro;COVILHÃ E CANHOSO
Rua 6 de Setembro;COVILHÃ E CANHOSO
Rua A;COVILHÃ E CANHOSO
Rua Afonso Domingues;COVILHÃ E CANHOSO
Rua Alexandre Herculano;COVILHÃ E CANHOSO
Rua Amoreira;COVILHÃ E CANHOSO
Rua António Aleixo;COVILHÃ E CANHOSO
Rua António Augusto Aguiar;COVILHÃ E CANHOSO
Rua António Augusto de Aguiar;COVILHÃ E CANHOSO
Rua Arquitecto Manuel João Calais;COVILHÃ E CANHOSO
Rua Arquiteto Manuel João Calais;COVILHÃ E CANHOSO
Rua Assunção;COVILHÃ E CANHOSO
Rua Azedo Gneco;COVILHÃ E CANHOSO
Rua Bairro dos Penedos Altos;COVILHÃ E CANHOSO
Rua Baptista Leitão;COVILHÃ E CANHOSO
Rua Barroca do Lobo;COVILHÃ E CANHOSO
Rua Batista Leitão;COVILHÃ E CANHOSO
Rua Bombeiros Voluntários;COVILHÃ E CANHOSO
Rua C;COVILHÃ E CANHOSO
Rua Capitão Alves Roçadas;COVILHÃ E CANHOSO
Rua Capitão João D'Almeida;COVILHÃ E CANHOSO
Rua Capitão João de Almeida;COVILHÃ E CANHOSO
Rua Capitão Salgueiro Maia;COVILHÃ E CANHOSO
Rua Celestino David;COVILHÃ E CANHOSO
Rua Centenário;COVILHÃ E CANHOSO
Rua Centro de Artes;COVILHÃ E CANHOSO
Rua Cidade de Cáceres;COVILHÃ E CANHOSO
Rua Cidade do Fundão;COVILHÃ E CANHOSO
Rua Comandante Sebastião Santos Julião;COVILHÃ E CANHOSO
Rua Comandante dos Bombeiros Sebastião Santos Júlio;COVILHÃ E CANHOSO
Rua Comandante dos Bombeiros Sebastião s Júlio;COVILHÃ E CANHOSO
Rua Combatentes da Grande Guerra;COVILHÃ E CANHOSO
Rua Comendador Campos Melo;COVILHÃ E CANHOSO
Rua Comendador Gomes Correia;COVILHÃ E CANHOSO
Rua Comendador Joaquim Pessoa;COVILHÃ E CANHOSO
Rua Comendador Marcelino;COVILHÃ E CANHOSO
Rua Comendador Mendes Veiga;COVILHÃ E CANHOSO
Rua Comércio;COVILHÃ E CANHOSO
Rua Conde José Calheiros;COVILHÃ E CANHOSO
Rua Conde da Covilhã;COVILHÃ E CANHOSO
Rua Conde da Ericeira;COVILHÃ E CANHOSO
Rua Condestável Nuno Álvares Pereira;COVILHÃ E CANHOSO
Rua Conselheiro António Pedroso Santos;COVILHÃ E CANHOSO
Rua Conselheiro António Pedroso dos Santos;COVILHÃ E CANHOSO
Rua Conselheiro Joaquim Pessoa;COVILHÃ E CANHOSO
Rua Conselheiro Santos Viegas;COVILHÃ E CANHOSO
Rua Corredoura;COVILHÃ E CANHOSO
Rua Costa Camelo Pintor;COVILHÃ E CANHOSO
Rua Cotovelo;COVILHÃ E CANHOSO
Rua Cova da Beira;COVILHÃ E CANHOSO
Rua D;COVILHÃ E CANHOSO
Rua Data Center;COVILHÃ E CANHOSO
Rua Diamantino Alves da Costa;COVILHÃ E CANHOSO
Rua Diogo Freitas do Amaral;COVILHÃ E CANHOSO
Rua Dois;COVILHÃ E CANHOSO
Rua Dom Cristóvão de Castro;COVILHÃ E CANHOSO
Rua Dom José Valério da Cruz;COVILHÃ E CANHOSO
Rua Dom Manuel Damasceno da Costa;COVILHÃ E CANHOSO
Rua Dom Nuno Álvares Pereira;COVILHÃ E CANHOSO
Rua Dom Sancho I;COVILHÃ E CANHOSO
Rua Dona Maria José Alçada;COVILHÃ E CANHOSO
Rua Doutor Alberto Rato;COVILHÃ E CANHOSO
Rua Doutor Almeida Eusébio;COVILHÃ E CANHOSO
Rua Doutor António Plácido da Costa;COVILHÃ E CANHOSO
Rua Doutor António Vaz Macedo;COVILHÃ E CANHOSO
Rua Doutor António Vaz de Macedo;COVILHÃ E CANHOSO
Rua Doutor Guilherme Raposo de Moura;COVILHÃ E CANHOSO
Rua Doutor Guilherme Raposo do Moura;COVILHÃ E CANHOSO
Rua Doutor José Mendes Matos;COVILHÃ E CANHOSO
Rua Doutor José Q Calheiros A Carvalho;COVILHÃ E CANHOSO
Rua Doutor José Quental Calheiros Albuquerque Carvalho;COVILHÃ E CANHOSO
Rua Doutor José Valério da Cruz;COVILHÃ E CANHOSO
Rua Doutor Júlio Maria Costa;COVILHÃ E CANHOSO
Rua Doutor Júlio Maria da Costa;COVILHÃ E CANHOSO
Rua Doutor Manuel Castro Martins;COVILHÃ E CANHOSO
Rua Doutor Mário Soares;COVILHÃ E CANHOSO
Rua Doutor Oliveira Monteiro;COVILHÃ E CANHOSO
Rua E;COVILHÃ E CANHOSO
Rua Estendedouro Gigante;COVILHÃ E CANHOSO
Rua Estrela;COVILHÃ E CANHOSO
Rua F;COVILHÃ E CANHOSO
Rua Fernando Antunes;COVILHÃ E CANHOSO
Rua Fernando Henriques da Cruz;COVILHÃ E CANHOSO
Rua Fernão Penteado;COVILHÃ E CANHOSO
Rua Ferreira de Castro;COVILHÃ E CANHOSO
Rua Fonte das Galinhas;COVILHÃ E CANHOSO
Rua Fonte do Lameiro;COVILHÃ E CANHOSO
Rua Formosa;COVILHÃ E CANHOSO
Rua Formosura;COVILHÃ E CANHOSO
Rua Forno;COVILHÃ E CANHOSO
Rua Francisco Rodrigues Taborda;COVILHÃ E CANHOSO
Rua Francisco Silva Ranito;COVILHÃ E CANHOSO
Rua Francisco da Silva Ranito;COVILHÃ E CANHOSO
Rua Fundação;COVILHÃ E CANHOSO
Rua G;COVILHÃ E CANHOSO
Rua General Humberto Delgado;COVILHÃ E CANHOSO
Rua Ginásio Club;COVILHÃ E CANHOSO
Rua Ginásio Clube;COVILHÃ E CANHOSO
Rua Gregório Baltazar;COVILHÃ E CANHOSO
Rua Gregório Geraldes;COVILHÃ E CANHOSO
Rua Grupo Desportivo da Mata;COVILHÃ E CANHOSO
Rua Grupo Instrução e Recreio;COVILHÃ E CANHOSO
Rua Grupo Recreativo Refugiense;COVILHÃ E CANHOSO
Rua Guilhermino Espinho;COVILHÃ E CANHOSO
Rua H;COVILHÃ E CANHOSO
Rua I;COVILHÃ E CANHOSO
Rua Independência;COVILHÃ E CANHOSO
Rua Irmãos Bonina;COVILHÃ E CANHOSO
Rua J;COVILHÃ E CANHOSO
Rua Jardim;COVILHÃ E CANHOSO
Rua Jardins do Rodrigo;COVILHÃ E CANHOSO
Rua Joaquim Pereira Espiga;COVILHÃ E CANHOSO
Rua Jornal Notícias da Covilhã;COVILHÃ E CANHOSO
Rua José Caetano Júnior;COVILHÃ E CANHOSO
Rua José Espiga;COVILHÃ E CANHOSO
Rua José Maria de Moura Barata Feio Terenas;COVILHÃ E CANHOSO
Rua José Ramalho;COVILHÃ E CANHOSO
Rua João Alves da Silva;COVILHÃ E CANHOSO
Rua João Batista Roseta;COVILHÃ E CANHOSO
Rua João Mendes Alçada de Paiva;COVILHÃ E CANHOSO
Rua João XXIII;COVILHÃ E CANHOSO
Rua L;COVILHÃ E CANHOSO
Rua Lanofabril;COVILHÃ E CANHOSO
Rua Liberdade;COVILHÃ E CANHOSO
Rua M;COVILHÃ E CANHOSO
Rua Madalena;COVILHÃ E CANHOSO
Rua Mahatma Gandhi;COVILHÃ E CANHOSO
Rua Major Melo Antunes;COVILHÃ E CANHOSO
Rua Major Otelo Saraiva de Carvalho;COVILHÃ E CANHOSO
Rua Manuel Alçada Padez;COVILHÃ E CANHOSO
Rua Manuel Damasceno da Costa;COVILHÃ E CANHOSO
Rua Marquês de Pombal;COVILHÃ E CANHOSO
Rua Marquês de Ávila e Bolama;COVILHÃ E CANHOSO
Rua Mateus Fernandes;COVILHÃ E CANHOSO
Rua Meio;COVILHÃ E CANHOSO
Rua Miradouro do Rodrigo;COVILHÃ E CANHOSO
Rua Montes Hermínios;COVILHÃ E CANHOSO
Rua Morais do Convento;COVILHÃ E CANHOSO
Rua N;COVILHÃ E CANHOSO
Rua Namorados;COVILHÃ E CANHOSO
Rua Nogueira dos Frades;COVILHÃ E CANHOSO
Rua Norte;COVILHÃ E CANHOSO
Rua Nova;COVILHÃ E CANHOSO
Rua Nº 2;COVILHÃ E CANHOSO
Rua Olivença;COVILHÃ E CANHOSO
Rua Operário;COVILHÃ E CANHOSO
Rua Padre Américo;COVILHÃ E CANHOSO
Rua Padre Martinho;COVILHÃ E CANHOSO
Rua Padre Pita;COVILHÃ E CANHOSO
Rua Pedro Alves;COVILHÃ E CANHOSO
Rua Pedro Álvares Cabral;COVILHÃ E CANHOSO
Rua Peso da Lã;COVILHÃ E CANHOSO
Rua Pinhal do Gaiteiro;COVILHÃ E CANHOSO
Rua Pinho Manso;COVILHÃ E CANHOSO
Rua Pisão Novo;COVILHÃ E CANHOSO
Rua Ponte Mártir in Colo;COVILHÃ E CANHOSO
Rua Portas do Sol;COVILHÃ E CANHOSO
Rua Primavera;COVILHÃ E CANHOSO
Rua Primeiro de Dezembro;COVILHÃ E CANHOSO
Rua Professor António Esteve Lopes;COVILHÃ E CANHOSO
Rua Professor António Esteves Lopes;COVILHÃ E CANHOSO
Rua Quinta da Baiuca;COVILHÃ E CANHOSO
Rua Quinta da Bendada;COVILHÃ E CANHOSO
Rua Quinta das Poldras;COVILHÃ E CANHOSO
Rua Quinta do Alvito;COVILHÃ E CANHOSO
Rua Quinta do Corges Pequeno;COVILHÃ E CANHOSO
Rua Quinta dos Dois Portos;COVILHÃ E CANHOSO
Rua Quinta dos Negreiros;COVILHÃ E CANHOSO
Rua Quintas da Calva;COVILHÃ E CANHOSO
Rua Raimundo;COVILHÃ E CANHOSO
Rua Ribeira de Água Alta;COVILHÃ E CANHOSO
Rua Ribeiro Negro;COVILHÃ E CANHOSO
Rua Ribeiro de Flandres;COVILHÃ E CANHOSO
Rua Rodrigo;COVILHÃ E CANHOSO
Rua Rosas;COVILHÃ E CANHOSO
Rua Rui Faleiro;COVILHÃ E CANHOSO
Rua Ruy Faleiro;COVILHÃ E CANHOSO
Rua Santo António;COVILHÃ E CANHOSO
Rua Senhor da Paciência;COVILHÃ E CANHOSO
Rua Sexto de Setembro;COVILHÃ E CANHOSO
Rua São Bartolomeu;COVILHÃ E CANHOSO
Rua São Francisco Álvares;COVILHÃ E CANHOSO
Rua São Franciso Álvares;COVILHÃ E CANHOSO
Rua São José;COVILHÃ E CANHOSO
Rua São João de Deus;COVILHÃ E CANHOSO
Rua São Salvador;COVILHÃ E CANHOSO
Rua São Tiago;COVILHÃ E CANHOSO
Rua Sítio da Macaia;COVILHÃ E CANHOSO
Rua Sítio do Muro;COVILHÃ E CANHOSO
Rua Tapada Doutor António;COVILHÃ E CANHOSO
Rua Vasco da Gama;COVILHÃ E CANHOSO
Rua Vinte de Junho;COVILHÃ E CANHOSO
Rua Viriato;COVILHÃ E CANHOSO
Rua Visconde da Coriscada;COVILHÃ E CANHOSO
Rua Vitória de Santo António;COVILHÃ E CANHOSO
Rua Zeca Afonso;COVILHÃ E CANHOSO
Rua da Alegria;COVILHÃ E CANHOSO
Rua da Amoreira;COVILHÃ E CANHOSO
Rua da Assunção;COVILHÃ E CANHOSO
Rua da Barbacan;COVILHÃ E CANHOSO
Rua da Beringueira de Baixo;COVILHÃ E CANHOSO
Rua da Calva;COVILHÃ E CANHOSO
Rua da Calçadinha;COVILHÃ E CANHOSO
Rua da Carreira de Tiro;COVILHÃ E CANHOSO
Rua da Cidade do Fundão;COVILHÃ E CANHOSO
Rua da Corredoura;COVILHÃ E CANHOSO
Rua da Estrela;COVILHÃ E CANHOSO
Rua da Formosura;COVILHÃ E CANHOSO
Rua da Fundação;COVILHÃ E CANHOSO
Rua da Grila;COVILHÃ E CANHOSO
Rua da Igreja;COVILHÃ E CANHOSO
Rua da Independência;COVILHÃ E CANHOSO
Rua da Indústria;COVILHÃ E CANHOSO
Rua da Liberdade;COVILHÃ E CANHOSO
Rua da Macaia;COVILHÃ E CANHOSO
Rua da Madalena;COVILHÃ E CANHOSO
Rua da Misericórdia;COVILHÃ E CANHOSO
Rua da Nave;COVILHÃ E CANHOSO
Rua da Olivença;COVILHÃ E CANHOSO
Rua da Olivosa;COVILHÃ E CANHOSO
Rua da Piscina;COVILHÃ E CANHOSO
Rua da Primavera;COVILHÃ E CANHOSO
Rua da Ramalha;COVILHÃ E CANHOSO
Rua da Ribeira da Água Alta;COVILHÃ E CANHOSO
Rua da Ribeira de Água Alta;COVILHÃ E CANHOSO
Rua da Saudade;COVILHÃ E CANHOSO
Rua da Tapada;COVILHÃ E CANHOSO
Rua da Torre;COVILHÃ E CANHOSO
Rua das Almas;COVILHÃ E CANHOSO
Rua das Amoreiras;COVILHÃ E CANHOSO
Rua das Camélias;COVILHÃ E CANHOSO
Rua das Escolas;COVILHÃ E CANHOSO
Rua das Figueiras;COVILHÃ E CANHOSO
Rua das Flores;COVILHÃ E CANHOSO
Rua das Lages;COVILHÃ E CANHOSO
Rua das Lagoas;COVILHÃ E CANHOSO
Rua das Lajes;COVILHÃ E CANHOSO
Rua das Laranjeiras;COVILHÃ E CANHOSO
Rua das Mimosas;COVILHÃ E CANHOSO
Rua das Oliveiras;COVILHÃ E CANHOSO
Rua das Pereiras;COVILHÃ E CANHOSO
Rua das Portas do Sol;COVILHÃ E CANHOSO
Rua das Rosas;COVILHÃ E CANHOSO
Rua das Tílias;COVILHÃ E CANHOSO
Rua das Túlipas;COVILHÃ E CANHOSO
Rua de Acesso à Estação;COVILHÃ E CANHOSO
Rua de Dom Cristóvão de Castro;COVILHÃ E CANHOSO
Rua de Primeiro de Dezembro;COVILHÃ E CANHOSO
Rua de Primeiro de Maio;COVILHÃ E CANHOSO
Rua de Santo António;COVILHÃ E CANHOSO
Rua de São Gregório;COVILHÃ E CANHOSO
Rua de São José;COVILHÃ E CANHOSO
Rua de São João;COVILHÃ E CANHOSO
Rua de São Pedro;COVILHÃ E CANHOSO
Rua de São Tiago;COVILHÃ E CANHOSO
Rua de Timor;COVILHÃ E CANHOSO
Rua de Vinte de Outubro;COVILHÃ E CANHOSO
Rua do Aerodrómo;COVILHÃ E CANHOSO
Rua do Alecrim;COVILHÃ E CANHOSO
Rua do Bairro de Nossa Senhora da Conceição;COVILHÃ E CANHOSO
Rua do Barbacan;COVILHÃ E CANHOSO
Rua do Batoreu;COVILHÃ E CANHOSO
Rua do Bilhar;COVILHÃ E CANHOSO
Rua do Botoreu;COVILHÃ E CANHOSO
Rua do Castelo;COVILHÃ E CANHOSO
Rua do Centenário;COVILHÃ E CANHOSO
Rua do Clube Desportivo da Covilhã;COVILHÃ E CANHOSO
Rua do Comércio;COVILHÃ E CANHOSO
Rua do Cotovelo;COVILHÃ E CANHOSO
Rua do Estendedouro;COVILHÃ E CANHOSO
Rua do Forno;COVILHÃ E CANHOSO
Rua do Ginásio Clube;COVILHÃ E CANHOSO
Rua do Jardim;COVILHÃ E CANHOSO
Rua do Lagoeiro;COVILHÃ E CANHOSO
Rua do Meio;COVILHÃ E CANHOSO
Rua do Norte;COVILHÃ E CANHOSO
Rua do Operário;COVILHÃ E CANHOSO
Rua do Padre Pita;COVILHÃ E CANHOSO
Rua do Parque Duppigheim;COVILHÃ E CANHOSO
Rua do Pinho Manso;COVILHÃ E CANHOSO
Rua do Pisão Novo;COVILHÃ E CANHOSO
Rua do Pião;COVILHÃ E CANHOSO
Rua do Raimundo;COVILHÃ E CANHOSO
Rua do Rodrigo;COVILHÃ E CANHOSO
Rua do Saco;COVILHÃ E CANHOSO
Rua do Serrado;COVILHÃ E CANHOSO
Rua dos Abrunheiros;COVILHÃ E CANHOSO
Rua dos Bairro dos Penedos Altos;COVILHÃ E CANHOSO
Rua dos Bombeiros Voluntários;COVILHÃ E CANHOSO
Rua dos Carqueijais;COVILHÃ E CANHOSO
Rua dos Carquejais;COVILHÃ E CANHOSO
Rua dos Castanheiros;COVILHÃ E CANHOSO
Rua dos Cedros;COVILHÃ E CANHOSO
Rua dos Cântaros;COVILHÃ E CANHOSO
Rua dos Lirios;COVILHÃ E CANHOSO
Rua dos Melos;COVILHÃ E CANHOSO
Rua dos Motoristas;COVILHÃ E CANHOSO
Rua dos Namorados;COVILHÃ E CANHOSO
Rua dos Pessegueiros;COVILHÃ E CANHOSO
Rua dos Pinheiros;COVILHÃ E CANHOSO
Rua dos Piornos;COVILHÃ E CANHOSO
Rua dos Plátanos;COVILHÃ E CANHOSO
Rua Álvaro Ferreira Pinto;COVILHÃ E CANHOSO
Segunda Transversal da Estrada do Campo da Aviação;COVILHÃ E CANHOSO
Segunda Travessa da Calva;COVILHÃ E CANHOSO
Segunda Travessa da Rua Ribeira de Água Alta;COVILHÃ E CANHOSO
Segunda Travessa da Rua Ribeiro Negro;COVILHÃ E CANHOSO
Sítio Pinhal do Santo;COVILHÃ E CANHOSO
Sítio Ponte dos Costas;COVILHÃ E CANHOSO
Sítio da Rosa Negra;COVILHÃ E CANHOSO
Sítio das Sete Fontes;COVILHÃ E CANHOSO
Sítio do Sineirinho;COVILHÃ E CANHOSO
Transversal Quinta do Alvito;COVILHÃ E CANHOSO
Transversal Rua da Grila;COVILHÃ E CANHOSO
Transversal da Alameda Pêro da Covilhã;COVILHÃ E CANHOSO
Transversal da Rua Morais do Convento;COVILHÃ E CANHOSO
Transversal da Rua Quinta das Poldras;COVILHÃ E CANHOSO
Transversal à Rua Centro de Artes;COVILHÃ E CANHOSO
Transverssal da Rua Quinta das Poldras;COVILHÃ E CANHOSO
Travessa Aeroclube da Covilhã;COVILHÃ E CANHOSO
Travessa Alegria;COVILHÃ E CANHOSO
Travessa Assunção;COVILHÃ E CANHOSO
Travessa Bica;COVILHÃ E CANHOSO
Travessa Compadres;COVILHÃ E CANHOSO
Travessa Cotovelo;COVILHÃ E CANHOSO
Travessa Cruzes;COVILHÃ E CANHOSO
Travessa Dona Filomena Anaquim;COVILHÃ E CANHOSO
Travessa Dona Joaquina;COVILHÃ E CANHOSO
Travessa Escola;COVILHÃ E CANHOSO
Travessa Escura;COVILHÃ E CANHOSO
Travessa Espongeiro;COVILHÃ E CANHOSO
Travessa Ferreiro;COVILHÃ E CANHOSO
Travessa Fonte Santa;COVILHÃ E CANHOSO
Travessa Fonte Velha;COVILHÃ E CANHOSO
Travessa Forno;COVILHÃ E CANHOSO
Travessa Gameiro;COVILHÃ E CANHOSO
Travessa Lopes;COVILHÃ E CANHOSO
Travessa Madalena;COVILHÃ E CANHOSO
Travessa Marquês de Pombal;COVILHÃ E CANHOSO
Travessa Namorados;COVILHÃ E CANHOSO
Travessa Peixe;COVILHÃ E CANHOSO
Travessa Pimentéis;COVILHÃ E CANHOSO
Travessa Postiguinho;COVILHÃ E CANHOSO
Travessa Quebrada;COVILHÃ E CANHOSO
Travessa Quinta das Poldras;COVILHÃ E CANHOSO
Travessa Quinta do Alvito;COVILHÃ E CANHOSO
Travessa Quinta do Reboleiral;COVILHÃ E CANHOSO
Travessa Raimundo;COVILHÃ E CANHOSO
Travessa Ramalha;COVILHÃ E CANHOSO
Travessa Ranito;COVILHÃ E CANHOSO
Travessa Ribeiro;COVILHÃ E CANHOSO
Travessa Ribeiro de Flandres;COVILHÃ E CANHOSO
Travessa Ripas;COVILHÃ E CANHOSO
Travessa Rodrigo;COVILHÃ E CANHOSO
Travessa Santa Marinha;COVILHÃ E CANHOSO
Travessa Santo Agostinho;COVILHÃ E CANHOSO
Travessa Santo António;COVILHÃ E CANHOSO
Travessa Senhor da Paciência;COVILHÃ E CANHOSO
Travessa Serrado;COVILHÃ E CANHOSO
Travessa Sineiro;COVILHÃ E CANHOSO
Travessa São Bartolomeu;COVILHÃ E CANHOSO
Travessa São Gregório;COVILHÃ E CANHOSO
Travessa São Sebastião;COVILHÃ E CANHOSO
Travessa São Silvestre;COVILHÃ E CANHOSO
Travessa São Tiago;COVILHÃ E CANHOSO
Travessa Tapada;COVILHÃ E CANHOSO
Travessa Tinte;COVILHÃ E CANHOSO
Travessa Trapa;COVILHÃ E CANHOSO
Travessa Varandado;COVILHÃ E CANHOSO
Travessa da Alameda Pêro da Covilhã;COVILHÃ E CANHOSO
Travessa da Alegria;COVILHÃ E CANHOSO
Travessa da Amoreira;COVILHÃ E CANHOSO
Travessa da Assunção;COVILHÃ E CANHOSO
Travessa da Avenida Infante Dom Henrique;COVILHÃ E CANHOSO
Travessa da Bica;COVILHÃ E CANHOSO
Travessa da Boa Vista;COVILHÃ E CANHOSO
Travessa da Calva;COVILHÃ E CANHOSO
Travessa da Calçada Alta;COVILHÃ E CANHOSO
Travessa da Calçada Romana;COVILHÃ E CANHOSO
Travessa da Escadaria;COVILHÃ E CANHOSO
Travessa da Estrela;COVILHÃ E CANHOSO
Travessa da Fonte Santa;COVILHÃ E CANHOSO
Travessa da Fonte Velha;COVILHÃ E CANHOSO
Travessa da Fonte das Galinhas;COVILHÃ E CANHOSO
Travessa da Madalena;COVILHÃ E CANHOSO
Travessa da Quebrada;COVILHÃ E CANHOSO
Travessa da Quinta das Poldras;COVILHÃ E CANHOSO
Travessa da Quinta do Reboleiral;COVILHÃ E CANHOSO
Travessa da Quinta dos Negreiros;COVILHÃ E CANHOSO
Travessa da Quintinha;COVILHÃ E CANHOSO
Travessa da Ramalha;COVILHÃ E CANHOSO
Travessa da Rua da Olivosa;COVILHÃ E CANHOSO
Travessa da Rua do Forno do Refúgio;COVILHÃ E CANHOSO
Travessa da Saudade;COVILHÃ E CANHOSO
Travessa da Tapada;COVILHÃ E CANHOSO
Travessa da Trapa;COVILHÃ E CANHOSO
Travessa das Escolas;COVILHÃ E CANHOSO
Travessa das Poldras;COVILHÃ E CANHOSO
Travessa das Quelhas;COVILHÃ E CANHOSO
Travessa das Ripas;COVILHÃ E CANHOSO
Travessa de Dona Joaquina;COVILHÃ E CANHOSO
Travessa de Santa Maria;COVILHÃ E CANHOSO
Travessa de Santa Marinha;COVILHÃ E CANHOSO
Travessa de Santo Agostinho;COVILHÃ E CANHOSO
Travessa de Santo António;COVILHÃ E CANHOSO
Travessa de São Bartolomeu;COVILHÃ E CANHOSO
Travessa de São Gregório;COVILHÃ E CANHOSO
Travessa de São José;COVILHÃ E CANHOSO
Travessa de São João;COVILHÃ E CANHOSO
Travessa de São Sebastião;COVILHÃ E CANHOSO
Travessa de São Silvestre;COVILHÃ E CANHOSO
Travessa de São Tiago;COVILHÃ E CANHOSO
Travessa do Canto do Grilo;COVILHÃ E CANHOSO
Travessa do Canto do Lopes;COVILHÃ E CANHOSO
Travessa do Castelo;COVILHÃ E CANHOSO
Travessa do Cimo;COVILHÃ E CANHOSO
Travessa do Cotovelo;COVILHÃ E CANHOSO
Travessa do Escondidinho;COVILHÃ E CANHOSO
Travessa do Espogeiro;COVILHÃ E CANHOSO
Travessa do Estendedouro;COVILHÃ E CANHOSO
Travessa do Ferreiro;COVILHÃ E CANHOSO
Travessa do Forno;COVILHÃ E CANHOSO
Travessa do Grilo;COVILHÃ E CANHOSO
Travessa do Lagoeiro;COVILHÃ E CANHOSO
